first_name,last_name,email,phone,scheduledDate,actualDate,status,skills
Michelle,Bishop,michelle.bishop@example.com,4536956767,08-07-2026,,in-progress,"Tiling,Site Safety Management,Concrete Finishing"
Scott,Poole,scott.poole@example.com,6047699361,09-04-2025,,in-progress,"Surveying,Concrete Finishing,Bricklaying,Flooring Installation"
Debbie,Brown,debbie.brown@example.com,9791974391,22-06-2026,12-04-2027,completed,Glass Installation
Jason,Willis,jason.willis@example.com,0371223871,02-02-2025,,new,"Tiling,HVAC Installation,Roofing"
Eric,Jordan,eric.jordan@example.com,3284255528,04-07-2026,,completed,"Masonry,Blueprint Reading"
Frederick,Conley,frederick.conley@example.com,7816098315,02-01-2026,,new,"Surveying,Roofing"
Justin,Townsend,justin.townsend@example.com,2133230746,25-09-2024,,new,"Surveying,Roofing"
Kristy,Cardenas,kristy.cardenas@example.com,4826201578,11-11-2025,01-05-2027,new,"HVAC Installation,Project Estimation,Roofing"
David,Fry,david.fry@example.com,2505282774,29-04-2026,13-06-2027,new,"Heavy Equipment Operation,Scaffolding,Steel Fixing"
Jennifer,Burgess,jennifer.burgess@example.com,5594138730,28-06-2025,,in-progress,"Steel Fixing,Paving,Bricklaying"
John,Parker,john.parker@example.com,4605271068,16-10-2024,12-04-2027,completed,"Tiling,Glass Installation,Concrete Finishing"
Tommy,Barajas,tommy.barajas@example.com,2831137740,01-09-2025,06-02-2026,completed,"Steel Fixing,Site Safety Management,Carpentry,HVAC Installation"
Juan,Stout,juan.stout@example.com,0014090863,25-03-2026,12-06-2027,completed,"Landscaping,Bricklaying,Drywall Installation"
Paula,Hughes,paula.hughes@example.com,4165797242,08-05-2026,28-05-2027,completed,Paving
James,Burns,james.burns@example.com,6297951684,14-01-2026,15-11-2026,completed,"Electrical Wiring,Concrete Finishing,Tiling,Carpentry"
Diane,Dawson,diane.dawson@example.com,3410607255,17-08-2024,08-02-2027,new,Insulation Work
Richard,Castro,richard.castro@example.com,3724011148,04-12-2025,12-02-2026,completed,Site Safety Management
Kenneth,Gallagher,kenneth.gallagher@example.com,4861025971,23-06-2026,,in-progress,"Concrete Finishing,Insulation Work,Drywall Installation,Glass Installation"
Joyce,Lawrence,joyce.lawrence@example.com,3230134024,05-05-2026,,completed,"Heavy Equipment Operation,Painting,Bricklaying"
Kelly,Fisher,kelly.fisher@example.com,5002227993,21-02-2025,,in-progress,"Paving,Concrete Finishing,Insulation Work,Welding"
Brian,Fritz,brian.fritz@example.com,8997141127,02-05-2026,17-09-2026,in-progress,"Masonry,Formwork"
Stephanie,Mack,stephanie.mack@example.com,7198518220,05-02-2025,,completed,"Concrete Finishing,Heavy Equipment Operation,Site Safety Management,Landscaping"
Eileen,Chandler,eileen.chandler@example.com,3471041370,15-04-2026,30-07-2026,in-progress,"Landscaping,Masonry,HVAC Installation,Steel Fixing"
Christopher,Chaney,christopher.chaney@example.com,5953995858,09-07-2025,30-12-2026,in-progress,"Steel Fixing,Glass Installation"
Kathy,Snow,kathy.snow@example.com,5405857759,13-04-2026,07-03-2027,new,"Welding,Site Safety Management,Surveying,Project Estimation"
Jacob,Davis,jacob.davis@example.com,6416992309,02-09-2025,,completed,Painting
Angelica,Bennett,angelica.bennett@example.com,8337592204,16-09-2024,,new,"Carpentry,Insulation Work,Masonry"
Emily,Lee,emily.lee@example.com,1162629330,19-10-2025,,in-progress,"Heavy Equipment Operation,Steel Fixing"
Christopher,Murray,christopher.murray@example.com,7515827705,15-12-2025,05-03-2026,in-progress,"Carpentry,Insulation Work,Blueprint Reading,Bricklaying"
Crystal,Simmons,crystal.simmons@example.com,4409268372,11-08-2025,,completed,"Site Safety Management,Blueprint Reading"
Dominique,Harris,dominique.harris@example.com,9822037258,13-02-2025,26-01-2026,new,"Carpentry,Roofing,Plumbing,Welding"
Kimberly,Morris,kimberly.morris@example.com,4623923605,10-06-2026,22-08-2026,completed,"Paving,Tiling,Formwork,Roofing"
Kimberly,Duran,kimberly.duran@example.com,7766447427,10-01-2025,15-03-2025,completed,"HVAC Installation,Insulation Work,Paving,Site Safety Management"
